cluster,Predicted SM
Hg3Zn1S1C2,1
Pt1Nb2Ti1O1N1C1,1
Ir1Cd1Pd1Y1O2+,2
Ir3Cu1N2+,3
Ag1Zr1Ti2C3,2
Ag3Ni1O2+,3
Re1Cd1Nb1Sc1S1N2C1,1
Au2Re2O1,3
W1Ta1Hf1Ni1S1N1+,2
Ir1Ta1Hf2O3N1-,3
Au1V3S2N1-,3
Pd1Tc2Fe1N1C1-,8
Hf1Fe1Cr1V1S2C2+,3
Os1Re1Nb1Cr1O3-,2
Hg1Au1Ru1Co1O1C2+,2
Ir1Hf3O3C1,2
Ru1V3S1N2-,2
Ru1Tc1Zn1V1O3C1,3
Co1Ti3S1-,5
Zr2Co2N1C2-,4
Re3La1S1C2,3
W1Hf1Zr2O3C1+,2
Hg1Rh1Ru1Ti1O4-,2
Pd2V2O1C3-,3
Hg1Cd1Cu1Co1S1O1N1C1,4
Re1Cu2Ti1O1N1C1,2
Tc1Zr3S2,2
Ta1Y1Fe1Ti1O1,3
W1La1Fe1Ti1O1N3,5
Hg2Re1Cu1O1N3+,1
Ir1Hf2Sc1O3C1+,2
W1Cd1Pd2S1O1C2+,2
Au1Tc1Mo1Mn1S2C2-,3
Ir1Zr2Y1O2N1C1+,1
